name,name_raw,entity_type_unified,description
visa,VISA,病原体,"""VISA（万古霉素中介金黄色葡萄球菌）是一种对万古霉素敏感性降低的金黄色葡萄球菌，治疗难度大。""<SEP>""耐万古霉素中介金黄色葡萄球菌（Vancomycin-Intermediate Staphylococcus aureus），对万古霉素敏感性降低，多见于长期住院及有万古霉素治疗史者。""<SEP>""Vancomycin-Intermediate Staphylococcus aureus, a strain with reduced susceptibility to Vancomycin, potentially also affecting Daptomycin susceptibility."""
vrsa,VRSA,病原体,"""VRSA（万古霉素耐药金黄色葡萄球菌）是一种对万古霉素耐药的金黄色葡萄球菌，治疗选择有限。""<SEP>""耐万古霉素金黄色葡萄球菌（Vancomycin-Resistant Staphylococcus aureus），对万古霉素耐药，文中提到中国尚无报道。"""
胸腔闭式引流,胸腔闭式引流,手术治疗,"""胸腔闭式引流是一种通过胸管将胸膜腔内液体或气体排出的手术操作，常用于脓胸、气胸等治疗。"""
胸腔内注射,胸腔内注射,诊疗技术及设备,"""胸腔内注射是将药物直接注入胸腔的治疗方法，常用于胸腔积液的治疗，如注射t-PA和DNA酶。""<SEP>""胸腔内注射是将药物直接注入胸膜腔的治疗方法，常用于脓胸的辅助治疗。"""
经食管超声检查,经食管超声检查,检查,"""经食管超声检查是一种通过食管探头进行心脏超声检查的方法，用于诊断感染性心内膜炎。"""
急性,急性,疾病,"""Acute, a term describing a disease of sudden onset and short duration.""<SEP>""Acute, describing a condition of sudden onset.""<SEP>""急性前列腺炎是前列腺炎的一种类型，病原体以淋球菌和沙眼衣原体为主。""<SEP>""急性指疾病发作迅速、病程短，常用于描述感染的病程特点。"""
亚急性/慢性,亚急性/慢性,流行病学,"""亚急性/慢性指疾病发作较缓、病程较长，常用于描述感染的病程特点。"""
集束化治疗策略,集束化治疗策略,指南建议,"""集束化治疗策略是一组同时或相继实施的治疗措施，用于改善严重感染患者的预后。"""
覆盖厌氧菌,覆盖厌氧菌,指南建议,"""覆盖厌氧菌是指在治疗肺脓肿、脓胸等感染时，选择对厌氧菌有效的抗菌药物。"""
个体化给药,个体化给药,指南建议,"""个体化给药是根据患者的具体情况（如肾功能、体重、血药浓度）调整药物剂量的给药策略。"""
心脏瓣膜,心脏瓣膜,部位,"""心内膜炎的感染部位，念珠菌性心内膜炎常累及此处。""<SEP>""心脏瓣膜是心内膜炎的感染部位。""<SEP>""心脏瓣膜是心脏内血液流动的控制结构，是感染性心内膜炎的常见发病部位。""<SEP>""感染性心内膜炎的主要累及部位，包括主动脉瓣、二尖瓣、三尖瓣和肺动脉瓣。"""
心内膜,心内膜,部位,"""心内膜是心脏内壁的组织，是感染性心内膜炎的发病部位。""<SEP>""心脏内膜，心内膜炎是其炎症。""<SEP>""心内膜是慢性Q热和心内膜炎的病变部位。"""
青霉烯类,青霉烯类,西药,"""青霉烯类抗生素是一类广谱β-内酰胺类抗生素，对革兰氏阳性菌、革兰氏阴性菌和厌氧菌有效。"""
第二代头孢菌素,第二代头孢菌素,西药,"""一种β-内酰胺类抗生素，常用于活体肾移植受者术后预防感染。""<SEP>""头孢菌素类抗生素的一代，对革兰氏阳性菌和部分革兰氏阴性菌均有作用。""<SEP>""第二代头孢菌素类抗生素具有广谱抗菌活性，常用于治疗呼吸道和泌尿系统感染。"""
β-内酰胺过敏者,Β-内酰胺过敏者,流行病学,"""β-内酰胺过敏者是指对青霉素类、头孢菌素类等β-内酰胺类抗生素过敏的患者。"""
长期住院,长期住院,流行病学,"""住院时间较长。""<SEP>""指患者住院时间较长，是医院获得性感染和耐药菌感染的重要危险因素。""<SEP>""指患者住院时间较长，是耐药菌感染（如VISA）的危险因素。""<SEP>""长期住院指患者住院时间较长，常与医院获得性感染和耐药菌感染风险增加相关。"""
免疫功能,免疫功能,流行病学,"""免疫功能指机体抵抗病原微生物的能力，是感染易感性的重要影响因素。""<SEP>""免疫功能是影响阴道炎复发和治疗反应的重要因素，免疫抑制患者（如糖尿病、HIV）需更积极的治疗和管理。""<SEP>""患者免疫功能状态（如AIDS、HIV阳性、免疫受损）影响真菌感染的风险、严重程度和治疗方案。""<SEP>""机体抵抗感染的能力，免疫功能低下（如HIV、粒细胞缺乏）是真菌感染的重要危险因素。""<SEP>""免疫功能是指机体抵抗感染的能力，免疫功能低下是侵袭性真菌病的高危因素。""<SEP>""免疫功能（尤其是CD4+ T淋巴细胞计数）是决定机会性感染风险和治疗方案的关键因素。"""
发病场所,发病场所,流行病学,"""发病场所指感染发生的地点，如医院或社区，是病原学诊断的重要参考。"""
前期治疗用药史,前期治疗用药史,流行病学,"""前期治疗用药史是患者既往接受的治疗方案，是选择抗菌药物的重要参考。"""
病原微生物,病原微生物,病原体,"""病原微生物是引起感染的微生物，包括细菌、病毒、真菌等。"""
病原学检测标本,病原学检测标本,检查,"""病原学检测标本是用于分离和鉴定病原微生物的样本，如血液、痰液等。"""
血药监测目标,血药监测目标,指南建议,"""血药监测目标是药物在血液中的目标浓度，用于指导个体化给药。"""
最佳的临床疗效,最佳的临床疗效,流行病学,"""Optimal clinical efficacy refers to the best possible treatment outcome. High-dose L-AmB is recommended for IM to achieve this, despite nephrotoxicity risks.""<SEP>""最佳的临床疗效指治疗后达到最理想的临床改善，是治疗的目标。"""
最高60mg/kg,最高60MG/KG,指南建议,"""最高60mg/kg是万古霉素个体化给药的剂量上限，用于避免药物过量。"""
不耐受万古霉素,不耐受万古霉素,流行病学,"""不耐受万古霉素指患者对万古霉素有不良反应或禁忌症，需选择其他治疗方案。"""
治疗反应不佳,治疗反应不佳,流行病学,"""治疗反应不佳指治疗后病情无改善或恶化，需调整治疗方案。"""
原发性血流,原发性血流,疾病,"""原发性血流感染是原发感染灶不明确的血流感染，常由皮肤、黏膜等部位的细菌引起。"""
原发性败血症,原发性败血症,疾病,"""原发性败血症是原发感染灶不明确的败血症，病情危急。"""
原发感,原发感,疾病,"""原发感是原发感染灶的简称，指感染的起源部位。"""
原发感灶,原发感灶,疾病,"""原发感灶是原发感染灶的另一种表述，指感染的起源部位。"""
唑西林,唑西林,西药,"""一种青霉素类抗生素，用于治疗细菌感染，常用剂量为2g静脉注射每4小时一次。"""
头孢唑,头孢唑,西药,"""一种头孢菌素类抗生素。""<SEP>""一种头孢菌素类抗生素，有引起中枢神经系统反应以及全身酸痛等反应的报道。""<SEP>""一种头孢菌素类抗生素，用于治疗细菌感染，常用剂量为2g静脉注射每8小时一次。""<SEP>""头孢菌素类抗生素，妊娠分级为B级。""<SEP>""头孢唑（Ceftizoxime）是一种第三代头孢菌素类抗生素，主要用于治疗敏感菌引起的感染，其剂量需根据肾功能调整。"""
喹林钠,喹林钠,西药,"""一种抗生素，用于对β-内酰胺类药物过敏的患者，常用剂量为2g静脉注射每8小时一次。"""
苄西林,苄西林,西药,"""一种青霉素类抗生素，用于治疗肠球菌感染，常用剂量为2g静脉注射每4小时一次。"""
抗假单胞菌β-内酰胺类,抗假单胞菌Β-内酰胺类,西药,"""一类对铜绿假单胞菌有效的β-内酰胺类抗生素，包括头孢他啶、头孢吡肟、哌拉西林/他唑巴坦、美罗培南等。""<SEP>""抗假单胞菌β-内酰胺类抗生素（如哌拉西林-他唑巴坦）对洋葱博克霍尔德菌无效。"""
万古霉素不敏感的金黄色葡萄球菌,万古霉素不敏感的金黄色葡萄球菌,病原体,"""指对万古霉素敏感性降低或耐药的金黄色葡萄球菌，包括VISA和VRSA。"""
青霉素耐药菌株,青霉素耐药菌株,病原体,"""指对青霉素耐药的细菌，如某些肠球菌和肺炎链球菌。""<SEP>""指对青霉素耐药的肠球菌。"""
原发感染灶,原发感染灶,疾病,"""原发感染灶是感染最初发生的部位，处理不充分可能导致感染扩散或新发感染。""<SEP>""指引起血流感染的原始感染部位，如肺部、腹腔、泌尿道等，需及时控制。""<SEP>""指引起血流感染的原始感染部位，如肺部、腹腔、泌尿道等，需通过检查确定并控制。"""
感染灶控制,感染灶控制,其他治疗,"""通过手术引流、清创等方式清除感染源的治疗措施，是控制感染和防止感染扩散的关键。""<SEP>""通过手术或引流等方式清除感染源的治疗措施。"""
轻中症,轻中症,指南建议,"""指疾病严重程度较轻，无明显器官功能障碍。""<SEP>""指疾病严重程度较轻，无明显器官功能障碍，通常预后较好。""<SEP>""轻中症是隐球菌病、孢子丝菌病等疾病的治疗分型建议。""<SEP>""轻中症是隐球菌病、孢子丝菌病等疾病的治疗分型，通常使用氟康唑或伊曲康唑治疗。"""
β-内酰胺类/β-内酰胺酶抑制剂,Β-内酰胺类/Β-内酰胺酶抑制剂,药物,"""A type of antibiotic medication that can be used as an alternative to carbapenems for treating ESBL-producing bacterial infections, shown to have equivalent bacteriological clearance, efficacy, and mortality rates.""<SEP>""β-内酰胺类/β-内酰胺酶抑制剂为ESBL-E感染的经验性和目标性治疗提供选择多样性，可作为替换性抗菌药物""<SEP>""β-内酰胺类/β-内酰胺酶抑制剂复合制剂对ESBL-E敏感性良好，包括哌拉西林/他唑巴坦、头孢哌酮/舒巴坦等，是主要治疗药物。""<SEP>""一类由β-内酰胺类抗生素和β-内酰胺酶抑制剂组成的复方药物，用于治疗产β-内酰胺酶的耐药菌感染。""<SEP>""即β-内酰胺酶抑制剂复合制剂，如哌拉西林/他唑巴坦、头孢哌酮/舒巴坦。"""
头孢哌酮/舒巴坦（2：1）,头孢哌酮/舒巴坦（2：1）,西药,"""头孢哌酮与舒巴坦按2:1比例组成的复方制剂，用于治疗产ESBL菌株感染。"""
美多培南,美多培南,西药,"""一种碳青霉烯类抗生素，文中提及作为替代药物。"""
阿霉素,阿霉素,西药,"""文中提及用于社区获得性肺炎的治疗，可能为笔误或特定语境下的药物，通常阿霉素为抗肿瘤药。"""
万古霉素（青霉素过敏者替换）,万古霉素（青霉素过敏者替换）,西药,"""指在青霉素过敏患者中，万古霉素可作为替代药物治疗肺炎链球菌感染。"""
大剂量氨苄西林,大剂量氨苄西林,西药,"""指使用较高剂量的氨苄西林治疗肺炎链球菌感染。"""
抗假单胞菌β-内酰胺类+呼吸喹诺酮类,抗假单胞菌Β-内酰胺类+呼吸喹诺酮类,西药,"""联合用药方案，用于治疗疑有铜绿假单胞菌感染的重症社区获得性肺炎。"""
β-内酰胺类+大环内酯类,Β-内酰胺类+大环内酯类,西药,"""联合用药方案，用于治疗社区获得性肺炎，可能有协同作用。"""
替考拉宁负荷剂量,替考拉宁负荷剂量,西药,"""指在使用替考拉宁初期给予较高剂量以快速达到有效血药浓度。"""
大样本研究,大样本研究,指南建议,"""指基于大量患者数据的研究，能提供更可靠的证据指导临床实践。"""
当地流行病学情况,当地流行病学情况,流行病学,"""指特定地区或医院的细菌耐药性流行情况，是经验性治疗的重要依据。"""
血药浓度低,血药浓度低,症状,"""指药物在血液中的浓度低于有效治疗水平，可能导致治疗失败。"""
严密监测治疗效果,严密监测治疗效果,指南建议,"""指在治疗过程中密切观察患者的临床反应和实验室指标，以评估疗效并及时调整方案。"""
及时改用,及时改用,指南建议,"""指在初始治疗无效时，迅速更换为其他有效的治疗方案。"""
部分病例有效,部分病例有效,流行病学,"""指上述优化给药方案在部分患者中有效。""<SEP>""指某种治疗方案在部分患者中显示出疗效，但并非对所有患者都有效。"""
缺乏大样本研究,缺乏大样本研究,指南建议,"""指某种治疗方案缺乏大规模临床研究的支持，证据级别不高。"""
证据级别不高,证据级别不高,指南建议,"""指支持某种治疗方案的临床研究证据强度有限，需谨慎应用。""<SEP>""指支持联合呼吸喹诺酮类治疗的证据级别不高。"""
病死率低于,病死率低于,流行病学,"""指某种治疗方案能降低疾病的死亡率。"""
β-内酰胺类+大环内酯类联合,Β-内酰胺类+大环内酯类联合,其他治疗,"""指同时使用β-内酰胺类和大环内酯类抗生素的治疗策略。"""
联合环丙沙星或氨基糖苷类,联合环丙沙星或氨基糖苷类,其他治疗,"""指在β-内酰胺类药物基础上，联合环丙沙星或氨基糖苷类抗生素的治疗策略。"""
联合氨基糖苷类或氟喹诺酮类,联合氨基糖苷类或氟喹诺酮类,其他治疗,"""指在不动杆菌属感染治疗中，联合氨基糖苷类或氟喹诺酮类抗生素的治疗策略。"""
含舒巴坦的制剂,含舒巴坦的制剂,西药,"""指含有舒巴坦的β-内酰胺酶抑制剂复合制剂，如头孢哌酮/舒巴坦、氨苄西林/舒巴坦。"""
多黏菌素用法和剂量,多黏菌素用法和剂量,指南建议,"""指多黏菌素的具体给药方法和剂量，需参考相关药动学资料。"""
抗微生物药物药动学特点,抗微生物药物药动学特点,指南建议,"""指抗生素等抗微生物药物在体内的吸收、分布、代谢和排泄特性，是制定给药方案的基础。"""
寻找并确定原发感染灶,寻找并确定原发感染灶,其他治疗,"""指通过各种检查手段找出引起血流感染的原始感染部位。"""
尽快开始恰当的抗菌药物治疗,尽快开始恰当的抗菌药物治疗,指南建议,"""指在确诊血流感染后，应尽早开始针对性的抗菌药物治疗，以改善预后。"""
抗菌药物治疗一般10~14天,抗菌药物治疗一般10~14天,指南建议,"""指血流感染的常规抗菌药物治疗疗程。""<SEP>""指血流感染的常规抗菌药物治疗疗程，具体需根据感染情况调整。"""
原发感染情况,原发感染情况,流行病学,"""指引起血流感染的原始感染部位的具体情况，如感染类型、严重程度、病原体等，是决定治疗疗程的重要因素。""<SEP>""指引起血流感染的原始感染部位的具体情况，如感染类型、严重程度等。"""
prsp,PRSP,病原体,"""耐青霉素肺炎链球菌（Penicillin-Resistant Streptococcus pneumoniae），对青霉素耐药。""<SEP>""耐青霉素肺炎链球菌（Penicillin-Resistant Streptococcus pneumoniae），指对青霉素耐药的肺炎链球菌。""<SEP>""耐青霉素肺炎链球菌，是肺炎链球菌的耐药菌株。"""
疑有假单胞菌感染,疑有假单胞菌感染,症状,"""指根据临床表现和危险因素，怀疑患者感染了铜绿假单胞菌。""<SEP>""指根据临床表现（如高热、脓痰、影像学改变）和危险因素（如长期住院、免疫抑制）怀疑患者感染了假单胞菌属细菌。"""
疑有铜绿假单胞菌感染,疑有铜绿假单胞菌感染,症状,"""指怀疑感染了铜绿假单胞菌。""<SEP>""指根据临床表现和危险因素怀疑患者感染了铜绿假单胞菌。""<SEP>""指根据临床表现和危险因素，怀疑患者感染了铜绿假单胞菌。"""
经验证性使用2种抗假单胞菌药,经验证性使用2种抗假单胞菌药,其他治疗,"""指在怀疑铜绿假单胞菌感染时，经验性地使用两种针对该菌的抗生素。"""
抗mrsa药物,抗MRSA药物,西药,"""指用于治疗MRSA的药物。""<SEP>""指用于治疗耐甲氧西林金黄色葡萄球菌的药物，如万古霉素、利奈唑胺、达托霉素等。""<SEP>""指用于治疗耐甲氧西林金黄色葡萄球菌（MRSA）的药物，如万古霉素、利奈唑胺、达托霉素、替考拉宁等。"""
唑西林2gi.v.q.4h.,唑西林2GI.V.Q.4H.,西药,"""指唑西林2g静脉注射每4小时一次的给药方案。""<SEP>""指唑西林2g静脉注射每4小时一次的给药方案，用于治疗细菌感染。"""
头孢唑β-内酰胺过敏者,头孢唑Β-内酰胺过敏者,西药,"""指对β-内酰胺类药物过敏的患者，可选用头孢唑（可能为头孢唑林或其他头孢菌素）的替代方案。""<SEP>""指对β-内酰胺类药物（如青霉素、头孢菌素）过敏的患者，可选用头孢唑（可能为头孢唑林或其他头孢菌素）的替代方案。"""
喹林钠 2g i.v.q.8h.,喹林钠 2G I.V.Q.8H.,西药,"""指喹林钠2g静脉注射每8小时一次的给药方案。""<SEP>""指喹林钠2g静脉注射每8小时一次的给药方案，用于治疗细菌感染。"""
14天,14天,指南建议,"""14天是出血热疫苗 （双价）第1剂次和第2剂次之间的接种间隔。""<SEP>""指抗菌药物治疗的疗程为14天。""<SEP>""指抗菌药物治疗的疗程为14天，是许多细菌感染的常规疗程。""<SEP>""治疗持续时间，指14天。"""
万古霉素不敏感的,万古霉素不敏感的,病原体,"""指对万古霉素敏感性降低或耐药的细菌，如VISA和VRSA。"""
达托霉素6~10mg/kgi.v.q.d.14天,达托霉素6~10MG/KGI.V.Q.D.14天,西药,"""指达托霉素6~10mg/kg静脉注射每日一次，疗程14天的给药方案。"""
visa多见于长期住院及抗菌药物暴露,VISA多见于长期住院及抗菌药物暴露,流行病学,"""指VISA感染多发生于长期住院和有抗菌药物使用史的患者。"""
特别是有万古霉素治疗史者,特别是有万古霉素治疗史者,流行病学,"""指有万古霉素治疗史的患者更容易感染VISA。"""
须确认达托霉素的敏感性,须确认达托霉素的敏感性,指南建议,"""指在使用达托霉素治疗前，需通过药敏试验确认细菌对其敏感。"""
我国尚无vrsa报道,我国尚无VRSA报道,流行病学,"""指在中国尚未发现耐万古霉素金黄色葡萄球菌（VRSA）的报道。"""
万古霉素15~20mg/kgi.v. q.12h.,万古霉素15~20MG/KGI.V. Q.12H.,西药,"""指万古霉素15~20mg/kg静脉注射每12小时一次的给药方案。"""
维持剂量6~12mg/kg i.v.q.d.,维持剂量6~12MG/KG I.V.Q.D.,西药,"""指万古霉素的维持剂量为6~12mg/kg静脉注射每日一次。"""
vre无明确有效方案,VRE无明确有效方案,指南建议,"""指对于耐万古霉素肠球菌（VRE）感染，目前尚无明确有效的治疗方案。"""
可试用达托霉8-12mg/kg i.v.q.d.,可试用达托霉8-12MG/KG I.V.Q.D.,西药,"""指对于VRE感染，可尝试使用达托霉素8-12mg/kg静脉注射每日一次。"""
利奈唑胺600mgi.v.q.12h.,利奈唑胺600MGI.V.Q.12H.,西药,"""指利奈唑胺600mg静脉注射每12小时一次的给药方案。"""
esbl 阴性,ESBL 阴性,病原体,"""指不产生超广谱β-内酰胺酶的革兰氏阴性菌。"""
头孢噻利2gi.v.q.12h.,头孢噻利2GI.V.Q.12H.,西药,"""指头孢噻利2g静脉注射每12小时一次的给药方案。"""
β-内酰胺类/β-内酰胺酶抑制剂合剂,Β-内酰胺类/Β-内酰胺酶抑制剂合剂,西药,"""β-内酰胺类/β-内酰胺酶抑制剂合剂是复合制剂，用于治疗产超广谱β-内酰胺酶肠杆菌的低危患者，如头孢哌酮-舒巴坦和哌拉西林-他唑巴坦。""<SEP>""一种广谱抗菌药物，常用于预防和治疗肾移植、肺移植等手术部位感染，特别是针对革兰阴性菌和革兰阳性菌。""<SEP>""一类复合抗生素。""<SEP>""一类复合抗生素，对产ESBLs肠杆菌有效。""<SEP>""指β-内酰胺类抗生素与β-内酰胺酶抑制剂组成的复方制剂。"""
哌拉西林/他唑巴坦4.5giv.q.8h.~q.6h.,哌拉西林/他唑巴坦4.5GIV.Q.8H.~Q.6H.,西药,"""指哌拉西林/他唑巴坦4.5g静脉注射每6-8小时一次的给药方案。"""
头孢哌酮/舒巴坦（2：1）3g | i.v. q.8h.,头孢哌酮/舒巴坦（2：1）3G | I.V. Q.8H.,西药,"""指头孢哌酮/舒巴坦（2:1）3g静脉注射每8小时一次的给药方案。"""
第四代头孢菌素,第四代头孢菌素,西药,"""一类β-内酰胺类抗生素，具有广谱抗菌活性，对革兰阴性菌和革兰阳性菌均有较强作用，包括头孢吡肟。""<SEP>""一类头孢菌素，如头孢吡肟，抗菌谱更广。""<SEP>""一类头孢菌素，如头孢吡肟，抗菌谱更广，对革兰氏阴性菌活性更强。""<SEP>""头孢菌素类抗生素的一代，对革兰氏阳性菌和革兰氏阴性菌均有较强作用。""<SEP>""第四代头孢菌素（如头孢吡肟）用于新生儿血流感染的联合治疗。""<SEP>""第四代头孢菌素是一类头孢菌素，文中提到头孢吡肟属于第四代头孢菌素。"""
头孢吡1~2gi.v.q.8h.,头孢吡1~2GI.V.Q.8H.,西药,"""指头孢吡肟1~2g静脉注射每8小时一次的给药方案。"""
碳青霉烯耐药肠杆菌（cre）,碳青霉烯耐药肠杆菌（CRE）,病原体,"""指对碳青霉烯类抗生素耐药的肠杆菌科细菌。""<SEP>""指对碳青霉烯类抗生素耐药的肠杆菌科细菌，治疗选择有限，预后较差。"""
esbl阳性,ESBL阳性,病原体,"""指产生超广谱β-内酰胺酶的革兰氏阴性菌。""<SEP>""指产生超广谱β-内酰胺酶的革兰氏阴性菌，对青霉素类、头孢菌素类和单环β-内酰胺类药物耐药。"""
哌拉西林/舒巴坦6gi.v.q.8h.~q.6h.,哌拉西林/舒巴坦6GI.V.Q.8H.~Q.6H.,西药,"""指哌拉西林/舒巴坦6g静脉注射每6-8小时一次的给药方案。"""
头孢哌酮/舒巴坦3~4gq.8h.,头孢哌酮/舒巴坦3~4GQ.8H.,西药,"""指头孢哌酮/舒巴坦3~4g静脉注射每8小时一次的给药方案。"""
亚胺培南/西司他丁0.5gi.v,亚胺培南/西司他丁0.5GI.V,西药,"""指亚胺培南/西司他丁0.5g静脉注射的给药方案。"""
应用b-内酰胺类/b-内酰胺酶抑制剂,应用B-内酰胺类/B-内酰胺酶抑制剂,其他治疗,"""指使用β-内酰胺类/β-内酰胺酶抑制剂复合制剂进行治疗。"""
不见改善,不见改善,流行病学,"""指治疗后病情未见好转。""<SEP>""指治疗后病情未见好转，提示可能需要调整治疗方案。"""
及时改用碳青霉烯类,及时改用碳青霉烯类,指南建议,"""指在初始治疗无效时，应及时更换为碳青霉烯类抗生素。"""
没有明显的原发感染,没有明显的原发感染,症状,"""指血流感染患者未发现明确的原发感染灶。""<SEP>""指血流感染患者未发现明确的原发感染灶，可能为原发性血流感染。"""
抗假单胞菌β-内酰胺类［如头孢他啶1~2gi.v.q.8h.、头孢吡1~2g i.v.q.8h.，或头孢噻利2gi.v.q.12h.、哌拉西林/他唑巴坦4.5gi.v.q.6h.，美罗培南1~2g i.v.q.8h.),抗假单胞菌Β-内酰胺类［如头孢他啶1~2GI.V.Q.8H.、头孢吡1~2G I.V.Q.8H.，或头孢噻利2GI.V.Q.12H.、哌拉西林/他唑巴坦4.5GI.V.Q.6H.，美罗培南1~2G I.V.Q.8H.),西药,"""指一系列对铜绿假单胞菌有效的β-内酰胺类抗生素及其给药方案。"""
严重感染建议联合环丙沙星或氨基糖苷类,严重感染建议联合环丙沙星或氨基糖苷类,指南建议,"""指对于严重的铜绿假单胞菌感染，建议联合使用环丙沙星或氨基糖苷类抗生素。"""
亚r可或美多 南,亚R可或美多 南,西药,"""可能指亚胺培南或美罗培南，文中表述不完整。"""
磷霉素联合β-内酰胺类、氨基糖苷类,磷霉素联合Β-内酰胺类、氨基糖苷类,其他治疗,"""指使用磷霉素联合β-内酰胺类和氨基糖苷类抗生素的治疗方案。"""
通过维 给药次数、加大剂量、延长碳青霉烯类抗生素的静脉滴注时间,通过维 给药次数、加大剂量、延长碳青霉烯类抗生素的静脉滴注时间,其他治疗,"""指通过调整给药次数、剂量和静脉滴注时间来优化碳青霉烯类抗生素的疗效。"""
头孢哌酮/舒巴坦（2:1）3~4gi.v. i.v.q.8h.,头孢哌酮/舒巴坦（2:1）3~4GI.V. I.V.Q.8H.,西药,"""指头孢哌酮/舒巴坦（2:1）3~4g静脉注射每8小时一次的给药方案。"""
上述药物均可单药或联合氨基糖苷类或氟喹诺酮类,上述药物均可单药或联合氨基糖苷类或氟喹诺酮类,指南建议,"""指治疗不动杆菌属感染时，上述药物可单独使用或联合氨基糖苷类或氟喹诺酮类抗生素。"""
含舒巴坦的制剂联合以下一流行病学情况选择经验性治疗药物,含舒巴坦的制剂联合以下一流行病学情况选择经验性治疗药物,指南建议,"""指根据当地流行病学情况选择含舒巴坦的制剂进行经验性治疗。"""
不动杆菌耐药性严重,不动杆菌耐药性严重,流行病学,"""指不动杆菌属细菌的耐药性非常严重。"""
应结合当地流行病学情况选择经验性治疗药物,应结合当地流行病学情况选择经验性治疗药物,指南建议,"""指在选择经验性治疗药物时，应考虑当地的细菌耐药性流行情况。"""
碳青霉烯类药物且血药浓度低,碳青霉烯类药物且血药浓度低,症状,"""指碳青霉烯类抗生素在某些情况下血药浓度较低。"""
舒巴坦的复合制剂,舒巴坦的复合制剂,西药,"""指含有舒巴坦的β-内酰胺酶抑制剂复合制剂。"""
多黏菌素用法和剂量参考“4-2抗微生物药物药动学特点和常用剂量”,多黏菌素用法和剂量参考“4-2抗微生物药物药动学特点和常用剂量”,指南建议,"""指多黏菌素的具体用法和剂量需参考相关章节。"""
感染类型/伴随情况,感染类型/伴随情况,流行病学,"""指感染的类型和伴随的临床情况。""<SEP>""表格标题，用于分类粒细胞缺乏患者感染的类型和伴随情况。"""
备选治疗,备选治疗,其他治疗,"""Alternative treatment refers to the second-line or alternative therapies recommended for a specific infectious disease.""<SEP>""备选治疗指首选方案失败或不适用时的替代方案，如幽门螺杆菌治疗中不含克拉霉素的方案。""<SEP>""备选治疗指首选治疗无效或不适用时的替代药物或方案，如MRSA感染备选替考拉宁。""<SEP>""备选的治疗方案。""<SEP>""头孢曲松钠和环丙沙星是小肠结肠炎耶尔森菌感染的备选治疗。""<SEP>""指针对特定感染的替代治疗方案。""<SEP>""表格标题，用于列出针对特定感染类型/伴随情况的备选治疗方案。""<SEP>""备选治疗是指在标准治疗不可用或不适用时的替代治疗方案，如AmB‑D、ABLC、ABCD等作为L‑AmB不可用时的备选药物。"""
备注,备注,指南建议,"""Remarks provide additional information or notes regarding the treatment or management of infectious diseases.""<SEP>""备注包含治疗中的重要注意事项，如禁欲、禁酒、性伴侣治疗等，确保治疗安全有效。""<SEP>""备注指治疗中的注意事项、禁忌症或特殊人群用药建议，如磺胺类药物禁用于2个月以下婴儿。""<SEP>""备注是对疫苗接种程序、对象等的补充说明，如接种间隔、特殊情况等。""<SEP>""指治疗过程中的注意事项或其他补充信息。""<SEP>""表格标题，用于列出针对特定感染类型/伴随情况的治疗备注。""<SEP>""需要额外说明的事项。"""
继发性败血症,继发性败血症,疾病,"""即继发性血流感染，指由其他部位感染引起的全身性感染。"""
具体结合原发感染情况决定,具体结合原发感染情况决定,指南建议,"""指血流感染的治疗疗程需根据原发感染灶的具体情况调整。"""
肺炎链球菌、流感嗜血杆菌、卡他莫拉菌、非典型病原体,肺炎链球菌、流感嗜血杆菌、卡他莫拉菌、非典型病原体,病原体,"""指社区获得性肺炎的常见病原体。"""
头孢曲松钠1~2g i.v.q.24h.,头孢曲松钠1~2G I.V.Q.24H.,西药,"""指头孢曲松钠1~2g静脉注射每24小时一次的给药方案。"""
prsp感染风险时,PRSP感染风险时,症状,"""指存在耐青霉素肺炎链球菌感染风险时。"""
大剂量氨苄西林（青霉素过敏者替换万古霉素）,大剂量氨苄西林（青霉素过敏者替换万古霉素）,西药,"""指对于PRSP感染风险者，使用大剂量氨苄西林，青霉素过敏者替换为万古霉素。"""
疑有假单胞菌感染者,疑有假单胞菌感染者,症状,"""指怀疑感染了铜绿假单胞菌的患者。"""
选择有抗假单胞菌β-内酰胺类+呼吸喹诺酮类,选择有抗假单胞菌Β-内酰胺类+呼吸喹诺酮类,指南建议,"""指对于疑有假单胞菌感染的社区获得性肺炎患者，选择抗假单胞菌β-内酰胺类联合呼吸喹诺酮类。"""
有报道β-内酰胺类+大环内酯类联合,有报道Β-内酰胺类+大环内酯类联合,指南建议,"""指有研究报道β-内酰胺类联合大环内酯类治疗社区获得性肺炎有效。"""
联合呼吸喹诺酮类,联合呼吸喹诺酮类,其他治疗,"""指联合使用呼吸喹诺酮类抗生素的治疗方案。"""
肠杆菌目细菌、不动杆菌属、铜绿假单胞菌、mrsa,肠杆菌目细菌、不动杆菌属、铜绿假单胞菌、MRSA,病原体,"""指医院获得性肺炎的常见病原体。"""
亚胺培南/西司他丁0.5gi.v.q.8h.～q.6h.,亚胺培南/西司他丁0.5GI.V.Q.8H.～Q.6H.,西药,"""指亚胺培南/西司他丁0.5g静脉注射每6-8小时一次的给药方案。"""
头孢哌酮/舒巴坦3.0g i.v.q.8h.~q.6h.,头孢哌酮/舒巴坦3.0G I.V.Q.8H.~Q.6H.,西药,"""指头孢哌酮/舒巴坦3.0g静脉注射每6-8小时一次的给药方案。"""
